tag,seed,n,K,n_head,causal,residual,n_layer,kl_same_suffix,hidden_gauss_nll_impr
n1_K2_H1_L1_causal1_res1_seed0,0,1,2,1,True,True,1,0.21578875184059143,0.7741746511993136
n1_K2_H1_L2_causal1_res1_seed0,0,1,2,1,True,True,2,0.19687481224536896,0.5883529918168552
n1_K2_H1_L1_causal1_res0_seed0,0,1,2,1,True,False,1,0.21578875184059143,0.7741746511993136
n1_K2_H1_L2_causal1_res0_seed0,0,1,2,1,True,False,2,0.19687481224536896,0.5883529918168552
n1_K2_H1_L1_causal0_res1_seed0,0,1,2,1,False,True,1,0.21578875184059143,0.7741746511993136
n1_K2_H1_L2_causal0_res1_seed0,0,1,2,1,False,True,2,0.19687481224536896,0.5883529918168552
n1_K2_H1_L1_causal0_res0_seed0,0,1,2,1,False,False,1,0.21578875184059143,0.7741746511993136
n1_K2_H1_L2_causal0_res0_seed0,0,1,2,1,False,False,2,0.19687481224536896,0.5883529918168552
n1_K2_H2_L1_causal1_res1_seed0,0,1,2,2,True,True,1,0.20166274905204773,0.4727640431265278
n1_K2_H2_L2_causal1_res1_seed0,0,1,2,2,True,True,2,0.21705125272274017,0.4592138439033525
n1_K2_H2_L1_causal1_res0_seed0,0,1,2,2,True,False,1,0.20166274905204773,0.4727640431265278
n1_K2_H2_L2_causal1_res0_seed0,0,1,2,2,True,False,2,0.21705125272274017,0.4592138439033525
n1_K2_H2_L1_causal0_res1_seed0,0,1,2,2,False,True,1,0.20166274905204773,0.4727640431265278
n1_K2_H2_L2_causal0_res1_seed0,0,1,2,2,False,True,2,0.21705125272274017,0.4592138439033525
n1_K2_H2_L1_causal0_res0_seed0,0,1,2,2,False,False,1,0.20166274905204773,0.4727640431265278
n1_K2_H2_L2_causal0_res0_seed0,0,1,2,2,False,False,2,0.21705125272274017,0.4592138439033525
n1_K3_H1_L1_causal1_res1_seed0,0,1,3,1,True,True,1,0.16347898542881012,0.5212915942697556
n1_K3_H1_L2_causal1_res1_seed0,0,1,3,1,True,True,2,0.17315384248892465,0.5442030883280726
n1_K3_H1_L1_causal1_res0_seed0,0,1,3,1,True,False,1,0.16347898542881012,0.5212915942697556
n1_K3_H1_L2_causal1_res0_seed0,0,1,3,1,True,False,2,0.17315384248892465,0.5442030883280726
n1_K3_H1_L1_causal0_res1_seed0,0,1,3,1,False,True,1,0.16347898542881012,0.5212915942697556
n1_K3_H1_L2_causal0_res1_seed0,0,1,3,1,False,True,2,0.17315384248892465,0.5442030883280726
n1_K3_H1_L1_causal0_res0_seed0,0,1,3,1,False,False,1,0.16347898542881012,0.5212915942697556
n1_K3_H1_L2_causal0_res0_seed0,0,1,3,1,False,False,2,0.17315384248892465,0.5442030883280726
n1_K3_H2_L1_causal1_res1_seed0,0,1,3,2,True,True,1,0.16844265162944794,0.5075637069815072
n1_K3_H2_L2_causal1_res1_seed0,0,1,3,2,True,True,2,0.18990392982959747,0.48572917780183367
n1_K3_H2_L1_causal1_res0_seed0,0,1,3,2,True,False,1,0.16844265162944794,0.5075637069815072
n1_K3_H2_L2_causal1_res0_seed0,0,1,3,2,True,False,2,0.18990392982959747,0.48572917780183367
n1_K3_H2_L1_causal0_res1_seed0,0,1,3,2,False,True,1,0.16844265162944794,0.5075637069815072
n1_K3_H2_L2_causal0_res1_seed0,0,1,3,2,False,True,2,0.18990392982959747,0.48572917780183367
n1_K3_H2_L1_causal0_res0_seed0,0,1,3,2,False,False,1,0.16844265162944794,0.5075637069815072
n1_K3_H2_L2_causal0_res0_seed0,0,1,3,2,False,False,2,0.18990392982959747,0.48572917780183367
n2_K2_H1_L1_causal1_res1_seed0,0,2,2,1,True,True,1,0.12215414643287659,0.26536682168877673
