context_idx,tok=0,tok=1,tok=2
0,0.43933058,0.27637076,0.2842987
1,0.36848524,0.33857098,0.29294375
2,0.3582056,0.28483793,0.35695645
3,0.3557362,0.3474438,0.29681998
4,0.34318718,0.35429898,0.30251384
5,0.3399389,0.33418027,0.3258809
6,0.35050017,0.2976193,0.3518805
7,0.3299948,0.32107064,0.34893456
8,0.3309146,0.29779834,0.37128705
9,0.35645458,0.34125245,0.30229297
10,0.35473844,0.34533358,0.29992804
11,0.3369259,0.3399576,0.32311648
12,0.3182496,0.37551326,0.3062372
13,0.27840033,0.43972334,0.28187636
14,0.30239874,0.38068637,0.31691486
15,0.31349322,0.34461075,0.3418961
16,0.28859365,0.35797477,0.3534316
17,0.30026296,0.33771157,0.36202547
18,0.34926185,0.299226,0.3515122
19,0.33577374,0.31768215,0.3465441
20,0.34469548,0.29953444,0.35577008
21,0.31614462,0.34590647,0.33794892
22,0.29578847,0.35652697,0.3476846
23,0.28927335,0.34978768,0.36093894
24,0.3101389,0.3049122,0.38494888
25,0.29929292,0.31747243,0.38323465
26,0.27630237,0.27717617,0.4465215
