context_idx,tok=0,tok=1,tok=2
0,0.5748125,0.2009475,0.22424003
1,0.33642155,0.33526346,0.328315
2,0.37519622,0.30402932,0.32077447
3,0.31597427,0.37799883,0.3060269
4,0.33198145,0.33429897,0.33371958
5,0.356465,0.30901542,0.33451957
6,0.32168186,0.2857143,0.39260384
7,0.3146985,0.36055276,0.32474875
8,0.36495927,0.31955764,0.31548312
9,0.28133515,0.35422343,0.36444142
10,0.34581006,0.3424581,0.31173185
11,0.3347826,0.33354038,0.33167702
12,0.29009008,0.37357357,0.33633634
13,0.19869234,0.6015256,0.19978206
14,0.3151914,0.35586125,0.32894737
15,0.3442928,0.35297766,0.30272952
16,0.28072917,0.28958333,0.4296875
17,0.3255949,0.4004643,0.2739408
18,0.29867128,0.31715772,0.384171
19,0.3164251,0.3357488,0.3478261
20,0.40809628,0.26805252,0.3238512
21,0.2982456,0.3508772,0.3508772
22,0.33591884,0.32816228,0.33591884
23,0.25438598,0.42518058,0.32043344
24,0.33035183,0.32021466,0.3494335
25,0.2974239,0.33489463,0.3676815
26,0.20503451,0.19610232,0.5988632
