Dataset_Setting,Model_Type,Layers,Heads,PE_Type,Use_Residual,Attention_Only,LR,Final_Sample_CE,Final_Theory_CE,Final_Sample_KL,Final_Theory_KL
HMM_V3_O1,linear,2,2,rope,True,False,3e-05,0.9614,0.96775,0.9614,0.02456
HMM_V3_O1,linear,1,1,rope,False,False,0.0005,1.03975,1.045,1.03975,0.03009
HMM_V3_O1,linear,1,1,rope,True,True,3e-05,1.0492,1.05239,1.0492,0.0315
HMM_V3_O1,linear,2,2,absolute,False,True,0.0005,0.7821,0.79469,0.7821,0.03524
HMM_V3_O1,linear,2,2,rope,False,False,3e-05,1.1207,1.12325,1.1207,0.04483
HMM_V3_O1,linear,2,1,rope,True,True,0.0005,1.03973,1.03792,1.03973,0.04531
HMM_V3_O1,linear,2,1,rope,True,True,0.0001,1.09939,1.09992,1.09939,0.05204
HMM_V3_O1,linear,1,1,rope,False,True,0.0005,1.02635,1.027,1.02635,0.06041
HMM_V3_O1,linear,1,1,absolute,False,False,0.0005,1.12844,1.1323,1.12844,0.06524
HMM_V3_O1,linear,1,1,rope,False,False,0.0001,1.05734,1.05551,1.05734,0.06539
HMM_V3_O1,linear,2,2,absolute,False,False,3e-05,1.00621,1.01813,1.00621,0.0711
HMM_V3_O1,linear,2,1,absolute,True,False,3e-05,1.16234,1.17463,1.16234,0.07818
HMM_V3_O1,linear,2,2,rope,False,False,0.0005,1.02895,1.0323,1.02895,0.08296
HMM_V3_O1,linear,2,1,absolute,True,False,0.0005,1.03226,1.023,1.03226,0.08567
HMM_V3_O1,linear,1,2,absolute,False,True,0.0005,1.15689,1.15789,1.15689,0.0912
HMM_V3_O1,linear,1,2,rope,True,True,3e-05,1.14469,1.14967,1.14469,0.098
HMM_V3_O1,linear,1,2,rope,True,False,3e-05,0.96815,0.97097,0.96815,0.10508
HMM_V3_O1,linear,1,2,absolute,True,False,0.0005,1.18248,1.18246,1.18248,0.10726
HMM_V3_O1,linear,2,1,rope,True,False,0.0001,1.14273,1.13877,1.14273,0.10818
HMM_V3_O1,linear,2,2,absolute,True,False,0.0001,0.95751,0.97011,0.95751,0.11018
HMM_V3_O1,linear,2,2,absolute,False,True,3e-05,1.19609,1.18198,1.19609,0.1118
HMM_V3_O1,linear,1,2,absolute,False,False,0.0001,1.17677,1.1747,1.17677,0.12119
HMM_V3_O1,linear,2,2,absolute,True,False,3e-05,1.23779,1.22122,1.23779,0.12562
HMM_V3_O1,linear,1,2,absolute,True,True,0.0005,1.11418,1.11275,1.11418,0.12954
HMM_V3_O1,linear,2,1,absolute,True,True,0.0001,1.06159,1.06281,1.06159,0.14148
HMM_V3_O1,linear,2,1,rope,True,True,3e-05,1.17485,1.17433,1.17485,0.15036
HMM_V3_O1,linear,2,1,absolute,False,False,3e-05,0.94112,0.95396,0.94112,0.15092
HMM_V3_O1,linear,1,2,rope,False,True,3e-05,1.13162,1.13097,1.13162,0.15118
HMM_V3_O1,linear,2,1,rope,True,False,0.0005,1.2096,1.19908,1.2096,0.15874
HMM_V3_O1,linear,1,2,absolute,True,False,0.0001,1.09704,1.09689,1.09704,0.16242
HMM_V3_O1,linear,2,2,rope,False,True,3e-05,1.21854,1.22046,1.21854,0.19984
HMM_V3_O1,linear,2,1,absolute,True,True,3e-05,1.20155,1.20466,1.20155,0.20372
HMM_V3_O1,linear,1,1,absolute,True,False,0.0001,1.11517,1.13474,1.11517,0.20431
HMM_V3_O1,linear,2,2,rope,True,True,0.0005,1.22901,1.23628,1.22901,0.21253
HMM_V3_O1,linear,1,1,rope,True,False,0.0001,1.06082,1.06004,1.06082,0.21312
HMM_V3_O1,linear,2,1,rope,False,True,0.0001,1.27086,1.26893,1.27086,0.21366
HMM_V3_O1,linear,2,2,rope,False,True,0.0005,1.28811,1.29795,1.28811,0.21821
HMM_V3_O1,linear,2,2,absolute,False,True,0.0001,1.21175,1.21498,1.21175,0.24036
HMM_V3_O1,linear,1,1,rope,False,True,0.0001,1.21094,1.20795,1.21094,0.24592
HMM_V3_O1,linear,2,1,absolute,True,False,0.0001,1.29241,1.30087,1.29241,0.25696
HMM_V3_O1,linear,1,2,absolute,False,True,0.0001,1.24824,1.24721,1.24824,0.25856
HMM_V3_O1,linear,1,1,absolute,False,True,0.0001,1.03423,1.03513,1.03423,0.26288
