Dataset_Setting,Total_Experiments,Mean_Sample_CE,Mean_Theory_CE,Mean_CE_Gap,Median_CE_Gap,Median_Theory_KL
HMM_V2_O1,224,0.81832,0.81755,0.00076,0.00017,0.12885
HMM_V2_O2,224,0.83533,0.83512,0.00022,0.00013,0.13153
HMM_V3_O1,336,1.30659,1.30714,-0.00055,-0.00029,0.27494
HMM_V3_O2,212,1.2487,1.2493,-0.0006,-0.00021,0.23347
ICL-Markov_V2_O1,336,0.55266,0.55219,0.00047,-7e-05,0.07561
ICL-Markov_V2_O2,336,0.60057,0.60103,-0.00045,-0.00044,0.13386
ICL-Markov_V3_O1,336,0.97634,0.97612,0.00022,-0.0,0.16374
ICL-Markov_V3_O2,336,1.05499,1.05488,0.00011,0.00011,0.23851
Markov_V2_O1,336,0.96496,0.96566,-0.00069,0.0,0.34744
Markov_V2_O2,336,0.95104,0.95035,0.00069,1e-05,0.3484
Markov_V3_O1,336,1.49604,1.49566,0.00038,0.00033,0.60053
Markov_V3_O2,336,1.28768,1.28683,0.00085,0.00053,0.42106
