Model_Type,Layers,Heads,PE_Type,Use_Residual,Attention_Only,LR,Final_Sample_CE,Final_Theory_CE,Final_Sample_KL,Final_Theory_KL
linear,2,2,absolute,True,False,0.0005,0.50727,0.51215,0.50727,0.02538
linear,2,2,absolute,True,True,0.0005,0.51163,0.50868,0.51163,0.02913
linear,2,2,absolute,False,False,0.0005,0.51252,0.51652,0.51252,0.03836
linear,2,2,rope,True,False,0.0005,0.52297,0.51731,0.52297,0.0392
linear,2,2,rope,True,True,0.0005,0.52764,0.52632,0.52764,0.04424
linear,2,1,absolute,True,True,0.0005,0.53209,0.53215,0.53209,0.05218
linear,2,1,absolute,True,False,0.0005,0.53473,0.53289,0.53473,0.05292
linear,2,1,rope,True,False,0.0005,0.54644,0.53534,0.54644,0.05344
linear,2,2,absolute,False,True,0.0005,0.54224,0.53422,0.54224,0.05506
linear,2,2,rope,False,False,0.0005,0.54049,0.53636,0.54049,0.05541
linear,2,1,absolute,False,False,0.0005,0.54738,0.54093,0.54738,0.06125
linear,2,1,rope,True,True,0.0005,0.54017,0.54164,0.54017,0.06322
linear,2,1,absolute,True,False,0.0001,0.53985,0.54285,0.53985,0.06407
linear,1,2,absolute,False,False,0.0005,0.55234,0.55133,0.55234,0.06631
linear,2,2,rope,False,True,0.0005,0.54415,0.54942,0.54415,0.06637
linear,2,1,rope,True,False,0.0001,0.55378,0.55462,0.55378,0.0678
linear,2,2,rope,True,False,0.0001,0.55643,0.54698,0.55643,0.06804
linear,2,2,rope,True,True,0.0001,0.54137,0.55259,0.54137,0.071
linear,1,2,absolute,False,True,0.0005,0.55858,0.55398,0.55858,0.07125
linear,2,2,absolute,False,False,0.0001,0.54998,0.55235,0.54998,0.07127
linear,2,2,absolute,True,False,0.0001,0.56187,0.55579,0.56187,0.07169
linear,2,1,rope,False,False,0.0005,0.56255,0.55431,0.56255,0.07171
linear,2,2,absolute,True,True,0.0001,0.55745,0.55489,0.55745,0.07227
linear,2,1,absolute,True,True,0.0001,0.55924,0.553,0.55924,0.07239
linear,1,1,absolute,True,True,0.0001,0.55501,0.55617,0.55501,0.07249
linear,1,2,absolute,True,True,0.0001,0.56965,0.55802,0.56965,0.07262
linear,1,2,rope,True,True,0.0005,0.56875,0.55755,0.56875,0.07319
linear,1,1,absolute,False,False,0.0005,0.5496,0.55669,0.5496,0.07349
linear,1,2,absolute,True,False,0.0001,0.55676,0.55703,0.55676,0.07433
linear,1,2,rope,False,False,0.0005,0.55368,0.55168,0.55368,0.07435
linear,1,1,rope,True,False,0.0005,0.54914,0.5522,0.54914,0.07441
linear,2,1,absolute,False,True,0.0005,0.56891,0.55812,0.56891,0.07443
