Model_Type,Layers,Heads,PE_Type,Use_Residual,Attention_Only,LR,Final_Sample_CE,Final_Theory_CE,Final_Sample_KL,Final_Theory_KL
linear,2,2,rope,False,True,0.0005,1.09705,1.09681,1.09705,0.07018
linear,1,1,rope,False,False,3e-05,0.87868,0.87177,0.87868,0.07612
linear,1,1,absolute,True,True,3e-05,1.01904,1.02242,1.01904,0.08361
linear,1,2,absolute,False,False,0.0005,0.89938,0.90426,0.89938,0.09685
linear,1,2,rope,True,False,0.0005,1.01767,1.00426,1.01767,0.13156
linear,2,2,absolute,False,True,3e-05,1.07989,1.08057,1.07989,0.1412
linear,2,2,rope,True,True,0.0001,1.17338,1.16903,1.17338,0.14718
linear,1,2,absolute,False,False,3e-05,0.55211,0.5516,0.55211,0.16895
linear,1,2,rope,False,True,0.0005,1.05432,1.05578,1.05432,0.19743
linear,2,1,absolute,True,True,0.0005,1.10579,1.10892,1.10579,0.20684
linear,2,2,absolute,True,False,3e-05,1.0686,1.06223,1.0686,0.22558
linear,2,1,absolute,False,False,3e-05,1.01342,1.01228,1.01342,0.22813
linear,2,1,absolute,False,True,3e-05,1.06468,1.06779,1.06468,0.25349
linear,1,1,rope,False,True,0.0005,0.97462,0.96984,0.97462,0.25709
linear,1,1,absolute,True,True,0.0001,1.00481,1.02051,1.00481,0.26184
linear,1,2,rope,False,False,3e-05,1.22458,1.22063,1.22458,0.27204
linear,2,1,absolute,True,False,0.0001,1.03746,1.03834,1.03746,0.27299
linear,2,2,rope,False,False,3e-05,1.12507,1.13555,1.12507,0.30314
linear,2,2,absolute,True,False,0.0001,1.25666,1.24958,1.25666,0.3126
linear,2,1,absolute,True,False,3e-05,0.76313,0.75398,0.76313,0.31314
linear,1,2,rope,False,True,0.0001,1.16748,1.16213,1.16748,0.32098
linear,2,2,rope,True,True,3e-05,1.10118,1.09836,1.10118,0.32488
linear,2,1,rope,False,False,3e-05,1.25088,1.25746,1.25088,0.33462
linear,2,2,rope,True,False,3e-05,1.14993,1.14749,1.14993,0.33582
linear,2,1,absolute,True,True,3e-05,1.29862,1.3051,1.29862,0.3419
linear,1,1,rope,True,False,0.0005,1.27672,1.26892,1.27672,0.34807
linear,1,2,rope,True,False,3e-05,1.10258,1.11243,1.10258,0.35006
linear,1,1,rope,True,True,0.0001,1.30199,1.29144,1.30199,0.36012
linear,2,1,rope,False,True,0.0001,1.16609,1.1752,1.16609,0.3661
linear,1,1,rope,False,True,3e-05,1.1916,1.18987,1.1916,0.40195
linear,1,1,rope,True,True,3e-05,1.38498,1.37862,1.38498,0.40321
linear,1,2,absolute,False,True,0.0001,1.3129,1.30075,1.3129,0.42416
linear,1,1,rope,False,True,0.0001,1.41126,1.4145,1.41126,0.42729
linear,1,1,absolute,False,False,3e-05,1.31704,1.32068,1.31704,0.43433
linear,2,2,rope,False,True,3e-05,1.39304,1.41633,1.39304,0.44323
linear,1,1,rope,True,False,3e-05,1.20869,1.21506,1.20869,0.45164
linear,1,2,absolute,True,True,0.0001,1.39069,1.41334,1.39069,0.45385
linear,1,1,absolute,True,True,0.0005,1.40556,1.39028,1.40556,0.45572
linear,1,1,rope,True,False,0.0001,1.38334,1.37237,1.38334,0.47415
linear,1,1,absolute,False,False,0.0001,1.43758,1.43034,1.43758,0.4836
linear,1,2,absolute,False,True,3e-05,1.25216,1.24649,1.25216,0.48954
linear,2,2,rope,False,False,0.0001,1.47307,1.48903,1.47307,0.50426
linear,2,1,rope,False,True,3e-05,1.42091,1.42094,1.42091,0.50557
linear,1,2,absolute,True,False,3e-05,1.45917,1.44938,1.45917,0.50997
linear,1,1,absolute,True,False,3e-05,1.42309,1.42629,1.42309,0.51649
linear,2,1,rope,False,True,0.0005,1.48575,1.50305,1.48575,0.53163
linear,1,2,rope,True,True,3e-05,1.55702,1.54362,1.55702,0.55467
linear,2,2,rope,True,True,0.0005,1.49876,1.49954,1.49876,0.5551
linear,1,2,rope,False,True,3e-05,1.44735,1.44144,1.44735,0.55584
linear,1,2,rope,True,True,0.0005,1.47587,1.48774,1.47587,0.57255
linear,2,1,absolute,True,False,0.0005,1.35025,1.34101,1.35025,0.58211
linear,1,2,absolute,False,False,0.0001,1.50587,1.49224,1.50587,0.58356
