Model_Type,linear,linear,linear,linear,performer,performer,performer,performer,standard,standard,standard,standard,standard,standard
PE_Type,absolute,absolute,rope,rope,absolute,absolute,rope,rope,absolute,absolute,rope,rope,rpe,rpe
Attention_Only,False,True,False,True,False,True,False,True,False,True,False,True,False,True
Dataset_Setting,,,,,,,,,,,,,,
HMM_V3_O1,0.10726,0.0912,0.44648,0.33396,0.43265,0.1272,0.10803,0.26825,0.36365,0.08489,0.23621,0.367,0.05111,0.43884
ICL-Markov_V2_O1,0.06631,0.07125,0.07435,0.07319,0.0678,0.07173,0.0742,0.07574,0.07303,0.07122,0.06052,0.06748,0.06199,0.06561
ICL-Markov_V2_O2,0.13188,0.1306,0.13321,0.1328,0.12537,0.12662,0.13436,0.13062,0.12968,0.13108,0.10761,0.13101,0.10524,0.1188
ICL-Markov_V3_O1,0.15484,0.15493,0.15912,0.15887,0.15238,0.15364,0.15676,0.1586,0.15469,0.16098,0.15669,0.16178,0.15335,0.15842
ICL-Markov_V3_O2,0.23241,0.23522,0.23736,0.23926,0.23452,0.23584,0.23515,0.23491,0.23499,0.23713,0.23165,0.23594,0.2263,0.23246
Markov_V2_O1,0.19307,0.26061,0.11878,0.71132,0.24392,0.09261,0.83609,0.14825,0.01458,0.077,0.01542,0.18651,0.05433,0.04382
Markov_V2_O2,0.48409,0.40608,0.31502,0.25201,0.17703,0.34707,0.11863,0.29629,0.27644,0.28652,0.08777,0.09214,0.03124,0.04452
Markov_V3_O1,0.09685,0.69986,0.13156,0.19743,0.34049,0.26881,0.43141,0.46597,0.32958,0.22864,0.319,0.43205,0.43511,0.68273
Markov_V3_O2,0.3707,0.20836,0.424,0.22129,0.16326,0.38713,0.50377,0.29171,0.35347,0.36033,0.60264,0.58065,0.70094,0.66701
