Dataset_Setting,Model_Setting,Data_Name,Num_Symbols,N_Order,Model_Type,Layers,Heads,Embed_Dim,LR,Final_CE,Final_KL
ICL-Markov_V3_O1,L2_H1_D16_attention-only_LR3e-05,ICL-Markov,3,1,attention-only,2,1,16,3e-05,0.986839,0.192944
ICL-Markov_V3_O1,L2_H1_D16_attention-only_LR0.0001,ICL-Markov,3,1,attention-only,2,1,16,0.0001,0.972139,0.205645
ICL-Markov_V3_O1,L2_H1_D16_attention-only_LR0.0005,ICL-Markov,3,1,attention-only,2,1,16,0.0005,0.861983,0.340137
ICL-Markov_V3_O1,L2_H2_D16_attention-only_LR3e-05,ICL-Markov,3,1,attention-only,2,2,16,3e-05,0.978642,0.194249
ICL-Markov_V3_O1,L2_H2_D16_attention-only_LR0.0001,ICL-Markov,3,1,attention-only,2,2,16,0.0001,0.981672,0.196357
ICL-Markov_V3_O1,L2_H2_D16_attention-only_LR0.0005,ICL-Markov,3,1,attention-only,2,2,16,0.0005,0.848113,0.323386
ICL-Markov_V3_O1,L2_H1_D16_standard_LR3e-05,ICL-Markov,3,1,standard,2,1,16,3e-05,0.984893,0.192657
ICL-Markov_V3_O1,L2_H1_D16_standard_LR0.0001,ICL-Markov,3,1,standard,2,1,16,0.0001,0.917360,0.220172
ICL-Markov_V3_O1,L2_H1_D16_standard_LR0.0005,ICL-Markov,3,1,standard,2,1,16,0.0005,0.855497,0.318398
ICL-Markov_V3_O1,L2_H2_D16_standard_LR3e-05,ICL-Markov,3,1,standard,2,2,16,3e-05,0.991439,0.194571
ICL-Markov_V3_O1,L2_H2_D16_standard_LR0.0001,ICL-Markov,3,1,standard,2,2,16,0.0001,0.927095,0.210718
ICL-Markov_V3_O1,L2_H2_D16_standard_LR0.0005,ICL-Markov,3,1,standard,2,2,16,0.0005,0.857576,0.322505
ICL-Markov_V3_O1,L2_H1_D16_linear_LR3e-05,ICL-Markov,3,1,linear,2,1,16,3e-05,0.994031,0.195230
ICL-Markov_V3_O1,L2_H1_D16_linear_LR0.0001,ICL-Markov,3,1,linear,2,1,16,0.0001,0.976333,0.197344
ICL-Markov_V3_O1,L2_H1_D16_linear_LR0.0005,ICL-Markov,3,1,linear,2,1,16,0.0005,0.967070,0.194386
ICL-Markov_V3_O1,L2_H2_D16_linear_LR3e-05,ICL-Markov,3,1,linear,2,2,16,3e-05,0.972308,0.192322
ICL-Markov_V3_O1,L2_H2_D16_linear_LR0.0001,ICL-Markov,3,1,linear,2,2,16,0.0001,0.976966,0.191849
ICL-Markov_V3_O1,L2_H2_D16_linear_LR0.0005,ICL-Markov,3,1,linear,2,2,16,0.0005,0.952023,0.235030
ICL-Markov_V3_O1,L1_H1_D16_attention-only_LR3e-05,ICL-Markov,3,1,attention-only,1,1,16,3e-05,0.979699,0.189964
ICL-Markov_V3_O1,L1_H1_D16_attention-only_LR0.0001,ICL-Markov,3,1,attention-only,1,1,16,0.0001,0.981814,0.180913
ICL-Markov_V3_O1,L1_H1_D16_attention-only_LR0.0005,ICL-Markov,3,1,attention-only,1,1,16,0.0005,0.978884,0.187565
ICL-Markov_V3_O1,L1_H2_D16_attention-only_LR3e-05,ICL-Markov,3,1,attention-only,1,2,16,3e-05,0.986395,0.188384
ICL-Markov_V3_O1,L1_H2_D16_attention-only_LR0.0001,ICL-Markov,3,1,attention-only,1,2,16,0.0001,0.979332,0.179827
ICL-Markov_V3_O1,L1_H2_D16_attention-only_LR0.0005,ICL-Markov,3,1,attention-only,1,2,16,0.0005,0.973666,0.181663
ICL-Markov_V3_O1,L1_H1_D16_standard_LR3e-05,ICL-Markov,3,1,standard,1,1,16,3e-05,0.973135,0.192837
ICL-Markov_V3_O1,L1_H1_D16_standard_LR0.0001,ICL-Markov,3,1,standard,1,1,16,0.0001,0.977559,0.188264
ICL-Markov_V3_O1,L1_H1_D16_standard_LR0.0005,ICL-Markov,3,1,standard,1,1,16,0.0005,0.975681,0.180631
ICL-Markov_V3_O1,L1_H2_D16_standard_LR3e-05,ICL-Markov,3,1,standard,1,2,16,3e-05,0.984103,0.189738
ICL-Markov_V3_O1,L1_H2_D16_standard_LR0.0001,ICL-Markov,3,1,standard,1,2,16,0.0001,0.979978,0.189573
ICL-Markov_V3_O1,L1_H2_D16_standard_LR0.0005,ICL-Markov,3,1,standard,1,2,16,0.0005,0.971893,0.187684
ICL-Markov_V3_O1,L1_H1_D16_linear_LR3e-05,ICL-Markov,3,1,linear,1,1,16,3e-05,0.980722,0.193224
ICL-Markov_V3_O1,L1_H1_D16_linear_LR0.0001,ICL-Markov,3,1,linear,1,1,16,0.0001,0.978557,0.193441
ICL-Markov_V3_O1,L1_H1_D16_linear_LR0.0005,ICL-Markov,3,1,linear,1,1,16,0.0005,0.969564,0.194585
ICL-Markov_V3_O1,L1_H2_D16_linear_LR3e-05,ICL-Markov,3,1,linear,1,2,16,3e-05,0.985114,0.192893
ICL-Markov_V3_O1,L1_H2_D16_linear_LR0.0001,ICL-Markov,3,1,linear,1,2,16,0.0001,0.986568,0.192138
ICL-Markov_V3_O1,L1_H2_D16_linear_LR0.0005,ICL-Markov,3,1,linear,1,2,16,0.0005,0.974534,0.185320
ICL-Markov_V3_O2,L2_H1_D16_attention-only_LR3e-05,ICL-Markov,3,2,attention-only,2,1,16,3e-05,1.062351,0.245334
ICL-Markov_V3_O2,L2_H1_D16_attention-only_LR0.0001,ICL-Markov,3,2,attention-only,2,1,16,0.0001,1.055574,0.250076
ICL-Markov_V3_O2,L2_H1_D16_attention-only_LR0.0005,ICL-Markov,3,2,attention-only,2,1,16,0.0005,0.951590,0.303259
ICL-Markov_V3_O2,L2_H2_D16_attention-only_LR3e-05,ICL-Markov,3,2,attention-only,2,2,16,3e-05,1.054645,0.248496
