Dataset_Setting,Model_Setting,Data_Name,Num_Symbols,N_Order,Model_Type,Attention_Only,PE_Type,Use_Residual,Layers,Heads,Embed_Dim,LR,Final_Sample_CE,Final_Theory_CE,Final_Sample_KL,Final_Theory_KL
ICL-Markov_V3_O1,L2_H1_D16_performer_AttnOnlyTrue_PE-absolute_ResTrue_LR0.0001,ICL-Markov,3,1,performer,True,absolute,True,2,1,16,0.0001,0.967086,0.973886,0.967086,0.153667
ICL-Markov_V3_O1,L2_H2_D16_performer_AttnOnlyTrue_PE-absolute_ResTrue_LR0.0001,ICL-Markov,3,1,performer,True,absolute,True,2,2,16,0.0001,0.957272,0.962745,0.957271,0.151758
ICL-Markov_V3_O1,L2_H1_D16_performer_AttnOnlyTrue_PE-absolute_ResFalse_LR0.0001,ICL-Markov,3,1,performer,True,absolute,False,2,1,16,0.0001,0.992115,0.986082,0.992115,0.171226
ICL-Markov_V3_O1,L2_H2_D16_performer_AttnOnlyTrue_PE-absolute_ResFalse_LR0.0001,ICL-Markov,3,1,performer,True,absolute,False,2,2,16,0.0001,0.987782,0.980962,0.987782,0.166654
ICL-Markov_V3_O1,L2_H1_D16_performer_AttnOnlyTrue_PE-rope_ResTrue_LR0.0001,ICL-Markov,3,1,performer,True,rope,True,2,1,16,0.0001,0.962791,0.967563,0.962791,0.149918
ICL-Markov_V3_O1,L2_H2_D16_performer_AttnOnlyTrue_PE-rope_ResTrue_LR0.0001,ICL-Markov,3,1,performer,True,rope,True,2,2,16,0.0001,0.974184,0.973620,0.974184,0.157119
ICL-Markov_V3_O1,L2_H1_D16_performer_AttnOnlyTrue_PE-rope_ResFalse_LR0.0001,ICL-Markov,3,1,performer,True,rope,False,2,1,16,0.0001,0.986181,0.993013,0.986181,0.171575
ICL-Markov_V3_O1,L2_H2_D16_performer_AttnOnlyTrue_PE-rope_ResFalse_LR0.0001,ICL-Markov,3,1,performer,True,rope,False,2,2,16,0.0001,0.981223,0.987698,0.981223,0.168002
ICL-Markov_V3_O1,L2_H1_D16_performer_AttnOnlyFalse_PE-absolute_ResTrue_LR0.0001,ICL-Markov,3,1,performer,False,absolute,True,2,1,16,0.0001,0.978583,0.978550,0.978583,0.155877
ICL-Markov_V3_O1,L2_H2_D16_performer_AttnOnlyFalse_PE-absolute_ResTrue_LR0.0001,ICL-Markov,3,1,performer,False,absolute,True,2,2,16,0.0001,0.964558,0.973193,0.964558,0.155009
