Dataset_Setting,Model_Setting,Data_Name,Num_Symbols,N_Order,Model_Type,Attention_Only,PE_Type,Use_Residual,Layers,Heads,Embed_Dim,LR,Final_Sample_CE,Final_Theory_CE,Final_Sample_KL,Final_Theory_KL
HMM_V2_O2,L2_H1_D16_performer_AttnOnlyTrue_PE-absolute_ResTrue_LR0.0001,HMM,2,2,performer,True,absolute,True,2,1,16,0.0001,0.736289,0.727768,0.736289,0.039315
HMM_V2_O2,L2_H2_D16_performer_AttnOnlyTrue_PE-absolute_ResTrue_LR0.0001,HMM,2,2,performer,True,absolute,True,2,2,16,0.0001,0.630351,0.628959,0.630351,0.034243
HMM_V2_O2,L2_H1_D16_performer_AttnOnlyTrue_PE-absolute_ResFalse_LR0.0001,HMM,2,2,performer,True,absolute,False,2,1,16,0.0001,0.974035,0.954033,0.974035,0.415437
HMM_V2_O2,L2_H2_D16_performer_AttnOnlyTrue_PE-absolute_ResFalse_LR0.0001,HMM,2,2,performer,True,absolute,False,2,2,16,0.0001,0.556162,0.554872,0.556162,0.213879
HMM_V2_O2,L2_H1_D16_performer_AttnOnlyTrue_PE-rope_ResTrue_LR0.0001,HMM,2,2,performer,True,rope,True,2,1,16,0.0001,0.776997,0.776453,0.776997,0.322394
HMM_V2_O2,L2_H2_D16_performer_AttnOnlyTrue_PE-rope_ResTrue_LR0.0001,HMM,2,2,performer,True,rope,True,2,2,16,0.0001,0.825645,0.826311,0.825645,0.222726
HMM_V2_O2,L2_H1_D16_performer_AttnOnlyTrue_PE-rope_ResFalse_LR0.0001,HMM,2,2,performer,True,rope,False,2,1,16,0.0001,1.089382,1.072727,1.089382,0.433058
HMM_V2_O2,L2_H2_D16_performer_AttnOnlyTrue_PE-rope_ResFalse_LR0.0001,HMM,2,2,performer,True,rope,False,2,2,16,0.0001,0.718299,0.717339,0.718299,0.079274
HMM_V2_O2,L2_H1_D16_performer_AttnOnlyFalse_PE-absolute_ResTrue_LR0.0001,HMM,2,2,performer,False,absolute,True,2,1,16,0.0001,0.629447,0.625414,0.629447,0.009538
HMM_V2_O2,L2_H2_D16_performer_AttnOnlyFalse_PE-absolute_ResTrue_LR0.0001,HMM,2,2,performer,False,absolute,True,2,2,16,0.0001,0.921266,0.923506,0.921266,0.270328
HMM_V2_O2,L2_H1_D16_performer_AttnOnlyFalse_PE-absolute_ResFalse_LR0.0001,HMM,2,2,performer,False,absolute,False,2,1,16,0.0001,0.803280,0.799597,0.803280,0.217290
HMM_V2_O2,L2_H2_D16_performer_AttnOnlyFalse_PE-absolute_ResFalse_LR0.0001,HMM,2,2,performer,False,absolute,False,2,2,16,0.0001,0.481392,0.477847,0.481392,0.014379
HMM_V2_O2,L2_H1_D16_performer_AttnOnlyFalse_PE-rope_ResTrue_LR0.0001,HMM,2,2,performer,False,rope,True,2,1,16,0.0001,0.671854,0.670464,0.671854,0.017337
HMM_V2_O2,L2_H2_D16_performer_AttnOnlyFalse_PE-rope_ResTrue_LR0.0001,HMM,2,2,performer,False,rope,True,2,2,16,0.0001,0.727725,0.728498,0.727725,0.107849
HMM_V2_O2,L2_H1_D16_performer_AttnOnlyFalse_PE-rope_ResFalse_LR0.0001,HMM,2,2,performer,False,rope,False,2,1,16,0.0001,0.661804,0.662558,0.661804,0.020749
HMM_V2_O2,L2_H2_D16_performer_AttnOnlyFalse_PE-rope_ResFalse_LR0.0001,HMM,2,2,performer,False,rope,False,2,2,16,0.0001,0.680240,0.673756,0.680240,0.069332
HMM_V2_O2,L2_H1_D16_standard_AttnOnlyTrue_PE-absolute_ResTrue_LR0.0001,HMM,2,2,standard,True,absolute,True,2,1,16,0.0001,0.815808,0.818425,0.815808,0.128021
HMM_V2_O2,L2_H2_D16_standard_AttnOnlyTrue_PE-absolute_ResTrue_LR0.0001,HMM,2,2,standard,True,absolute,True,2,2,16,0.0001,0.710244,0.714419,0.710244,0.048655
HMM_V2_O2,L2_H1_D16_standard_AttnOnlyTrue_PE-absolute_ResFalse_LR0.0001,HMM,2,2,standard,True,absolute,False,2,1,16,0.0001,1.152965,1.160831,1.152965,0.649317
HMM_V2_O2,L2_H2_D16_standard_AttnOnlyTrue_PE-absolute_ResFalse_LR0.0001,HMM,2,2,standard,True,absolute,False,2,2,16,0.0001,0.622917,0.618740,0.622917,0.025149
HMM_V2_O2,L2_H1_D16_standard_AttnOnlyTrue_PE-rpe_ResTrue_LR0.0001,HMM,2,2,standard,True,rpe,True,2,1,16,0.0001,0.792567,0.783628,0.792567,0.153646
HMM_V2_O2,L2_H2_D16_standard_AttnOnlyTrue_PE-rpe_ResTrue_LR0.0001,HMM,2,2,standard,True,rpe,True,2,2,16,0.0001,0.862729,0.862307,0.862729,0.172413
HMM_V2_O2,L2_H1_D16_standard_AttnOnlyTrue_PE-rpe_ResFalse_LR0.0001,HMM,2,2,standard,True,rpe,False,2,1,16,0.0001,0.736783,0.740034,0.736783,0.072680
HMM_V2_O2,L2_H2_D16_standard_AttnOnlyTrue_PE-rpe_ResFalse_LR0.0001,HMM,2,2,standard,True,rpe,False,2,2,16,0.0001,0.649761,0.648231,0.649761,0.079863
HMM_V2_O2,L2_H1_D16_standard_AttnOnlyTrue_PE-rope_ResTrue_LR0.0001,HMM,2,2,standard,True,rope,True,2,1,16,0.0001,0.537934,0.538986,0.537934,0.023383
HMM_V2_O2,L2_H2_D16_standard_AttnOnlyTrue_PE-rope_ResTrue_LR0.0001,HMM,2,2,standard,True,rope,True,2,2,16,0.0001,0.740789,0.733633,0.740789,0.042909
HMM_V2_O2,L2_H1_D16_standard_AttnOnlyTrue_PE-rope_ResFalse_LR0.0001,HMM,2,2,standard,True,rope,False,2,1,16,0.0001,0.637184,0.624495,0.637184,0.004068
HMM_V2_O2,L2_H2_D16_standard_AttnOnlyTrue_PE-rope_ResFalse_LR0.0001,HMM,2,2,standard,True,rope,False,2,2,16,0.0001,0.747724,0.753428,0.747724,0.068934
HMM_V2_O2,L2_H1_D16_standard_AttnOnlyFalse_PE-absolute_ResTrue_LR0.0001,HMM,2,2,standard,False,absolute,True,2,1,16,0.0001,0.676148,0.657367,0.676148,0.042140
HMM_V2_O2,L2_H2_D16_standard_AttnOnlyFalse_PE-absolute_ResTrue_LR0.0001,HMM,2,2,standard,False,absolute,True,2,2,16,0.0001,0.752028,0.754601,0.752028,0.238857
HMM_V2_O2,L2_H1_D16_standard_AttnOnlyFalse_PE-absolute_ResFalse_LR0.0001,HMM,2,2,standard,False,absolute,False,2,1,16,0.0001,1.389801,1.389273,1.389801,1.068960
HMM_V2_O2,L2_H2_D16_standard_AttnOnlyFalse_PE-absolute_ResFalse_LR0.0001,HMM,2,2,standard,False,absolute,False,2,2,16,0.0001,0.766761,0.759271,0.766761,0.086036
HMM_V2_O2,L2_H1_D16_standard_AttnOnlyFalse_PE-rpe_ResTrue_LR0.0001,HMM,2,2,standard,False,rpe,True,2,1,16,0.0001,0.709098,0.710105,0.709098,0.054352
HMM_V2_O2,L2_H2_D16_standard_AttnOnlyFalse_PE-rpe_ResTrue_LR0.0001,HMM,2,2,standard,False,rpe,True,2,2,16,0.0001,0.696452,0.696374,0.696452,0.131517
HMM_V2_O2,L2_H1_D16_standard_AttnOnlyFalse_PE-rpe_ResFalse_LR0.0001,HMM,2,2,standard,False,rpe,False,2,1,16,0.0001,0.822781,0.824767,0.822781,0.240510
HMM_V2_O2,L2_H2_D16_standard_AttnOnlyFalse_PE-rpe_ResFalse_LR0.0001,HMM,2,2,standard,False,rpe,False,2,2,16,0.0001,1.124982,1.125986,1.124982,0.678890
HMM_V2_O2,L2_H1_D16_standard_AttnOnlyFalse_PE-rope_ResTrue_LR0.0001,HMM,2,2,standard,False,rope,True,2,1,16,0.0001,0.774497,0.754883,0.774497,0.079981
HMM_V2_O2,L2_H2_D16_standard_AttnOnlyFalse_PE-rope_ResTrue_LR0.0001,HMM,2,2,standard,False,rope,True,2,2,16,0.0001,0.680275,0.681784,0.680275,0.046780
HMM_V2_O2,L2_H1_D16_standard_AttnOnlyFalse_PE-rope_ResFalse_LR0.0001,HMM,2,2,standard,False,rope,False,2,1,16,0.0001,1.003837,1.009759,1.003837,0.435877
HMM_V2_O2,L2_H2_D16_standard_AttnOnlyFalse_PE-rope_ResFalse_LR0.0001,HMM,2,2,standard,False,rope,False,2,2,16,0.0001,0.819429,0.818995,0.819429,0.138279
HMM_V2_O2,L2_H1_D16_linear_AttnOnlyTrue_PE-absolute_ResTrue_LR0.0001,HMM,2,2,linear,True,absolute,True,2,1,16,0.0001,0.381743,0.372130,0.381743,0.009675
HMM_V2_O2,L2_H2_D16_linear_AttnOnlyTrue_PE-absolute_ResTrue_LR0.0001,HMM,2,2,linear,True,absolute,True,2,2,16,0.0001,0.765256,0.767355,0.765256,0.112152
HMM_V2_O2,L2_H1_D16_linear_AttnOnlyTrue_PE-absolute_ResFalse_LR0.0001,HMM,2,2,linear,True,absolute,False,2,1,16,0.0001,0.546916,0.544495,0.546916,0.278949
HMM_V2_O2,L2_H2_D16_linear_AttnOnlyTrue_PE-absolute_ResFalse_LR0.0001,HMM,2,2,linear,True,absolute,False,2,2,16,0.0001,0.426586,0.429627,0.426586,0.168370
HMM_V2_O2,L2_H1_D16_linear_AttnOnlyTrue_PE-rope_ResTrue_LR0.0001,HMM,2,2,linear,True,rope,True,2,1,16,0.0001,0.719147,0.719013,0.719146,0.139652
