Dataset_Setting,Model_Setting,Data_Name,Num_Symbols,N_Order,Model_Type,Layers,Heads,Embed_Dim,LR,Final_CE,Final_KL
ICL-Markov_V2_O1,L2_H1_D16_attention-only_LR3e-05,ICL-Markov,2,1,attention-only,2,1,16,3e-05,0.559052,0.122803
ICL-Markov_V2_O1,L2_H1_D16_attention-only_LR0.0001,ICL-Markov,2,1,attention-only,2,1,16,0.0001,0.537059,0.131532
ICL-Markov_V2_O1,L2_H1_D16_attention-only_LR0.0005,ICL-Markov,2,1,attention-only,2,1,16,0.0005,0.502066,0.202646
ICL-Markov_V2_O1,L2_H2_D16_attention-only_LR3e-05,ICL-Markov,2,1,attention-only,2,2,16,3e-05,0.554121,0.118079
ICL-Markov_V2_O1,L2_H2_D16_attention-only_LR0.0001,ICL-Markov,2,1,attention-only,2,2,16,0.0001,0.544187,0.121393
ICL-Markov_V2_O1,L2_H2_D16_attention-only_LR0.0005,ICL-Markov,2,1,attention-only,2,2,16,0.0005,0.498940,0.196016
ICL-Markov_V2_O1,L2_H1_D16_standard_LR3e-05,ICL-Markov,2,1,standard,2,1,16,3e-05,0.557811,0.117728
ICL-Markov_V2_O1,L2_H1_D16_standard_LR0.0001,ICL-Markov,2,1,standard,2,1,16,0.0001,0.494543,0.153455
ICL-Markov_V2_O1,L2_H1_D16_standard_LR0.0005,ICL-Markov,2,1,standard,2,1,16,0.0005,0.507524,0.189280
ICL-Markov_V2_O1,L2_H2_D16_standard_LR3e-05,ICL-Markov,2,1,standard,2,2,16,3e-05,0.558380,0.125128
ICL-Markov_V2_O1,L2_H2_D16_standard_LR0.0001,ICL-Markov,2,1,standard,2,2,16,0.0001,0.499735,0.193419
ICL-Markov_V2_O1,L2_H2_D16_standard_LR0.0005,ICL-Markov,2,1,standard,2,2,16,0.0005,0.491394,0.186015
ICL-Markov_V2_O1,L2_H1_D16_linear_LR3e-05,ICL-Markov,2,1,linear,2,1,16,3e-05,0.550383,0.114422
ICL-Markov_V2_O1,L2_H1_D16_linear_LR0.0001,ICL-Markov,2,1,linear,2,1,16,0.0001,0.541733,0.146446
ICL-Markov_V2_O1,L2_H1_D16_linear_LR0.0005,ICL-Markov,2,1,linear,2,1,16,0.0005,0.532771,0.155844
ICL-Markov_V2_O1,L2_H2_D16_linear_LR3e-05,ICL-Markov,2,1,linear,2,2,16,3e-05,0.549197,0.115722
ICL-Markov_V2_O1,L2_H2_D16_linear_LR0.0001,ICL-Markov,2,1,linear,2,2,16,0.0001,0.543645,0.131264
ICL-Markov_V2_O1,L2_H2_D16_linear_LR0.0005,ICL-Markov,2,1,linear,2,2,16,0.0005,0.521208,0.151084
