Dataset_Setting,Model_Setting,Data_Name,Num_Symbols,N_Order,Model_Type,Attention_Only,PE_Type,Use_Residual,Use_LN,Layers,Heads,Embed_Dim,LR,Final_Sample_CE,Final_Theory_CE,Final_Sample_KL,Final_Theory_KL
ICL-Markov_V2_O1,L2_H1_D16_performer_AttnOnlyTrue_PE-none_ResTrue_LNTrue_LR0.0005,ICL-Markov,2,1,performer,True,none,True,True,2,1,16,0.0005,0.572835,0.558489,0.572835,0.076749
ICL-Markov_V2_O1,L2_H2_D16_performer_AttnOnlyTrue_PE-none_ResTrue_LNTrue_LR0.0005,ICL-Markov,2,1,performer,True,none,True,True,2,2,16,0.0005,0.565034,0.569403,0.565034,0.089000
ICL-Markov_V2_O1,L2_H1_D16_performer_AttnOnlyTrue_PE-absolute_ResTrue_LNTrue_LR0.0005,ICL-Markov,2,1,performer,True,absolute,True,True,2,1,16,0.0005,0.511812,0.517194,0.511812,0.035706
ICL-Markov_V2_O1,L2_H2_D16_performer_AttnOnlyTrue_PE-absolute_ResTrue_LNTrue_LR0.0005,ICL-Markov,2,1,performer,True,absolute,True,True,2,2,16,0.0005,0.503233,0.499799,0.503233,0.023192
ICL-Markov_V2_O1,L2_H1_D16_performer_AttnOnlyTrue_PE-rope_ResTrue_LNTrue_LR0.0005,ICL-Markov,2,1,performer,True,rope,True,True,2,1,16,0.0005,0.521944,0.528771,0.521944,0.046880
ICL-Markov_V2_O1,L2_H2_D16_performer_AttnOnlyTrue_PE-rope_ResTrue_LNTrue_LR0.0005,ICL-Markov,2,1,performer,True,rope,True,True,2,2,16,0.0005,0.527126,0.522280,0.527126,0.039003
ICL-Markov_V2_O1,L2_H1_D16_performer_AttnOnlyTrue_PE-none_ResTrue_LNFalse_LR0.0005,ICL-Markov,2,1,performer,True,none,True,False,2,1,16,0.0005,0.555015,0.554807,0.555015,0.073618
ICL-Markov_V2_O1,L2_H2_D16_performer_AttnOnlyTrue_PE-none_ResTrue_LNFalse_LR0.0005,ICL-Markov,2,1,performer,True,none,True,False,2,2,16,0.0005,0.549606,0.552214,0.549606,0.073934
ICL-Markov_V2_O1,L2_H1_D16_performer_AttnOnlyTrue_PE-absolute_ResTrue_LNFalse_LR0.0005,ICL-Markov,2,1,performer,True,absolute,True,False,2,1,16,0.0005,0.537618,0.539100,0.537618,0.059907
ICL-Markov_V2_O1,L2_H2_D16_performer_AttnOnlyTrue_PE-absolute_ResTrue_LNFalse_LR0.0005,ICL-Markov,2,1,performer,True,absolute,True,False,2,2,16,0.0005,0.547211,0.546561,0.547211,0.063025
ICL-Markov_V2_O1,L2_H1_D16_performer_AttnOnlyTrue_PE-rope_ResTrue_LNFalse_LR0.0005,ICL-Markov,2,1,performer,True,rope,True,False,2,1,16,0.0005,0.558208,0.544681,0.558208,0.059559
ICL-Markov_V2_O1,L2_H2_D16_performer_AttnOnlyTrue_PE-rope_ResTrue_LNFalse_LR0.0005,ICL-Markov,2,1,performer,True,rope,True,False,2,2,16,0.0005,0.531509,0.539634,0.531509,0.058649
ICL-Markov_V2_O1,L2_H1_D16_performer_AttnOnlyTrue_PE-none_ResFalse_LNTrue_LR0.0005,ICL-Markov,2,1,performer,True,none,False,True,2,1,16,0.0005,0.561633,0.555801,0.561633,0.074463
ICL-Markov_V2_O1,L2_H2_D16_performer_AttnOnlyTrue_PE-none_ResFalse_LNTrue_LR0.0005,ICL-Markov,2,1,performer,True,none,False,True,2,2,16,0.0005,0.536550,0.534121,0.536550,0.051104
ICL-Markov_V2_O1,L2_H1_D16_performer_AttnOnlyTrue_PE-absolute_ResFalse_LNTrue_LR0.0005,ICL-Markov,2,1,performer,True,absolute,False,True,2,1,16,0.0005,0.525086,0.523873,0.525086,0.042388
ICL-Markov_V2_O1,L2_H2_D16_performer_AttnOnlyTrue_PE-absolute_ResFalse_LNTrue_LR0.0005,ICL-Markov,2,1,performer,True,absolute,False,True,2,2,16,0.0005,0.498641,0.505328,0.498641,0.026302
ICL-Markov_V2_O1,L2_H1_D16_performer_AttnOnlyTrue_PE-rope_ResFalse_LNTrue_LR0.0005,ICL-Markov,2,1,performer,True,rope,False,True,2,1,16,0.0005,0.553368,0.551352,0.553368,0.074871
ICL-Markov_V2_O1,L2_H2_D16_performer_AttnOnlyTrue_PE-rope_ResFalse_LNTrue_LR0.0005,ICL-Markov,2,1,performer,True,rope,False,True,2,2,16,0.0005,0.518070,0.514948,0.518070,0.037790
ICL-Markov_V2_O1,L2_H1_D16_performer_AttnOnlyTrue_PE-none_ResFalse_LNFalse_LR0.0005,ICL-Markov,2,1,performer,True,none,False,False,2,1,16,0.0005,0.566840,0.565820,0.566840,0.087869
ICL-Markov_V2_O1,L2_H2_D16_performer_AttnOnlyTrue_PE-none_ResFalse_LNFalse_LR0.0005,ICL-Markov,2,1,performer,True,none,False,False,2,2,16,0.0005,0.562867,0.568219,0.562867,0.087336
ICL-Markov_V2_O1,L2_H1_D16_performer_AttnOnlyTrue_PE-absolute_ResFalse_LNFalse_LR0.0005,ICL-Markov,2,1,performer,True,absolute,False,False,2,1,16,0.0005,0.562202,0.568103,0.562202,0.089738
ICL-Markov_V2_O1,L2_H2_D16_performer_AttnOnlyTrue_PE-absolute_ResFalse_LNFalse_LR0.0005,ICL-Markov,2,1,performer,True,absolute,False,False,2,2,16,0.0005,0.566565,0.561168,0.566565,0.079749
ICL-Markov_V2_O1,L2_H1_D16_performer_AttnOnlyTrue_PE-rope_ResFalse_LNFalse_LR0.0005,ICL-Markov,2,1,performer,True,rope,False,False,2,1,16,0.0005,0.565879,0.568252,0.565879,0.084676
ICL-Markov_V2_O1,L2_H2_D16_performer_AttnOnlyTrue_PE-rope_ResFalse_LNFalse_LR0.0005,ICL-Markov,2,1,performer,True,rope,False,False,2,2,16,0.0005,0.571948,0.566217,0.571948,0.081795
ICL-Markov_V2_O2,L2_H1_D16_performer_AttnOnlyTrue_PE-none_ResTrue_LNTrue_LR0.0005,ICL-Markov,2,2,performer,True,none,True,True,2,1,16,0.0005,0.599429,0.597530,0.599429,0.127551
ICL-Markov_V2_O2,L2_H2_D16_performer_AttnOnlyTrue_PE-none_ResTrue_LNTrue_LR0.0005,ICL-Markov,2,2,performer,True,none,True,True,2,2,16,0.0005,0.600608,0.601355,0.600608,0.131845
ICL-Markov_V2_O2,L2_H1_D16_performer_AttnOnlyTrue_PE-absolute_ResTrue_LNTrue_LR0.0005,ICL-Markov,2,2,performer,True,absolute,True,True,2,1,16,0.0005,0.583984,0.587863,0.583984,0.113576
ICL-Markov_V2_O2,L2_H2_D16_performer_AttnOnlyTrue_PE-absolute_ResTrue_LNTrue_LR0.0005,ICL-Markov,2,2,performer,True,absolute,True,True,2,2,16,0.0005,0.576587,0.567271,0.576587,0.102012
ICL-Markov_V2_O2,L2_H1_D16_performer_AttnOnlyTrue_PE-rope_ResTrue_LNTrue_LR0.0005,ICL-Markov,2,2,performer,True,rope,True,True,2,1,16,0.0005,0.591347,0.595300,0.591347,0.124307
ICL-Markov_V2_O2,L2_H2_D16_performer_AttnOnlyTrue_PE-rope_ResTrue_LNTrue_LR0.0005,ICL-Markov,2,2,performer,True,rope,True,True,2,2,16,0.0005,0.591345,0.583508,0.591345,0.118496
ICL-Markov_V2_O2,L2_H1_D16_performer_AttnOnlyTrue_PE-none_ResTrue_LNFalse_LR0.0005,ICL-Markov,2,2,performer,True,none,True,False,2,1,16,0.0005,0.602478,0.607720,0.602478,0.140008
ICL-Markov_V2_O2,L2_H2_D16_performer_AttnOnlyTrue_PE-none_ResTrue_LNFalse_LR0.0005,ICL-Markov,2,2,performer,True,none,True,False,2,2,16,0.0005,0.600722,0.601525,0.600722,0.138373
ICL-Markov_V2_O2,L2_H1_D16_performer_AttnOnlyTrue_PE-absolute_ResTrue_LNFalse_LR0.0005,ICL-Markov,2,2,performer,True,absolute,True,False,2,1,16,0.0005,0.601085,0.601669,0.601085,0.132198
ICL-Markov_V2_O2,L2_H2_D16_performer_AttnOnlyTrue_PE-absolute_ResTrue_LNFalse_LR0.0005,ICL-Markov,2,2,performer,True,absolute,True,False,2,2,16,0.0005,0.604378,0.604118,0.604378,0.134838
ICL-Markov_V2_O2,L2_H1_D16_performer_AttnOnlyTrue_PE-rope_ResTrue_LNFalse_LR0.0005,ICL-Markov,2,2,performer,True,rope,True,False,2,1,16,0.0005,0.606905,0.603878,0.606905,0.130299
ICL-Markov_V2_O2,L2_H2_D16_performer_AttnOnlyTrue_PE-rope_ResTrue_LNFalse_LR0.0005,ICL-Markov,2,2,performer,True,rope,True,False,2,2,16,0.0005,0.608726,0.603187,0.608726,0.133807
ICL-Markov_V2_O2,L2_H1_D16_performer_AttnOnlyTrue_PE-none_ResFalse_LNTrue_LR0.0005,ICL-Markov,2,2,performer,True,none,False,True,2,1,16,0.0005,0.592731,0.602740,0.592731,0.132258
ICL-Markov_V2_O2,L2_H2_D16_performer_AttnOnlyTrue_PE-none_ResFalse_LNTrue_LR0.0005,ICL-Markov,2,2,performer,True,none,False,True,2,2,16,0.0005,0.593442,0.597008,0.593442,0.128284
ICL-Markov_V2_O2,L2_H1_D16_performer_AttnOnlyTrue_PE-absolute_ResFalse_LNTrue_LR0.0005,ICL-Markov,2,2,performer,True,absolute,False,True,2,1,16,0.0005,0.598501,0.601077,0.598501,0.132752
ICL-Markov_V2_O2,L2_H2_D16_performer_AttnOnlyTrue_PE-absolute_ResFalse_LNTrue_LR0.0005,ICL-Markov,2,2,performer,True,absolute,False,True,2,2,16,0.0005,0.582653,0.583761,0.582653,0.109155
ICL-Markov_V2_O2,L2_H1_D16_performer_AttnOnlyTrue_PE-rope_ResFalse_LNTrue_LR0.0005,ICL-Markov,2,2,performer,True,rope,False,True,2,1,16,0.0005,0.607829,0.605391,0.607829,0.141385
ICL-Markov_V2_O2,L2_H2_D16_performer_AttnOnlyTrue_PE-rope_ResFalse_LNTrue_LR0.0005,ICL-Markov,2,2,performer,True,rope,False,True,2,2,16,0.0005,0.588321,0.585038,0.588321,0.116538
ICL-Markov_V2_O2,L2_H1_D16_performer_AttnOnlyTrue_PE-none_ResFalse_LNFalse_LR0.0005,ICL-Markov,2,2,performer,True,none,False,False,2,1,16,0.0005,0.615179,0.607616,0.615179,0.139957
ICL-Markov_V2_O2,L2_H2_D16_performer_AttnOnlyTrue_PE-none_ResFalse_LNFalse_LR0.0005,ICL-Markov,2,2,performer,True,none,False,False,2,2,16,0.0005,0.620395,0.613710,0.620395,0.144393
ICL-Markov_V2_O2,L2_H1_D16_performer_AttnOnlyTrue_PE-absolute_ResFalse_LNFalse_LR0.0005,ICL-Markov,2,2,performer,True,absolute,False,False,2,1,16,0.0005,0.612985,0.610510,0.612985,0.141094
ICL-Markov_V2_O2,L2_H2_D16_performer_AttnOnlyTrue_PE-absolute_ResFalse_LNFalse_LR0.0005,ICL-Markov,2,2,performer,True,absolute,False,False,2,2,16,0.0005,0.602906,0.606410,0.602906,0.136584
ICL-Markov_V2_O2,L2_H1_D16_performer_AttnOnlyTrue_PE-rope_ResFalse_LNFalse_LR0.0005,ICL-Markov,2,2,performer,True,rope,False,False,2,1,16,0.0005,0.605845,0.604611,0.605845,0.136655
ICL-Markov_V2_O2,L2_H2_D16_performer_AttnOnlyTrue_PE-rope_ResFalse_LNFalse_LR0.0005,ICL-Markov,2,2,performer,True,rope,False,False,2,2,16,0.0005,0.606284,0.599389,0.606284,0.133836
ICL-Markov_V3_O1,L2_H1_D16_performer_AttnOnlyTrue_PE-none_ResTrue_LNTrue_LR0.0005,ICL-Markov,3,1,performer,True,none,True,True,2,1,16,0.0005,0.958231,0.963553,0.958231,0.151958
ICL-Markov_V3_O1,L2_H2_D16_performer_AttnOnlyTrue_PE-none_ResTrue_LNTrue_LR0.0005,ICL-Markov,3,1,performer,True,none,True,True,2,2,16,0.0005,0.951868,0.958738,0.951868,0.138024
ICL-Markov_V3_O1,L2_H1_D16_performer_AttnOnlyTrue_PE-absolute_ResTrue_LNTrue_LR0.0005,ICL-Markov,3,1,performer,True,absolute,True,True,2,1,16,0.0005,0.890637,0.886327,0.890637,0.063233
ICL-Markov_V3_O1,L2_H2_D16_performer_AttnOnlyTrue_PE-absolute_ResTrue_LNTrue_LR0.0005,ICL-Markov,3,1,performer,True,absolute,True,True,2,2,16,0.0005,0.882241,0.884876,0.882241,0.070359
ICL-Markov_V3_O1,L2_H1_D16_performer_AttnOnlyTrue_PE-rope_ResTrue_LNTrue_LR0.0005,ICL-Markov,3,1,performer,True,rope,True,True,2,1,16,0.0005,0.933860,0.931884,0.933860,0.113575
ICL-Markov_V3_O1,L2_H2_D16_performer_AttnOnlyTrue_PE-rope_ResTrue_LNTrue_LR0.0005,ICL-Markov,3,1,performer,True,rope,True,True,2,2,16,0.0005,0.918245,0.914750,0.918245,0.093724
ICL-Markov_V3_O1,L2_H1_D16_performer_AttnOnlyTrue_PE-none_ResTrue_LNFalse_LR0.0005,ICL-Markov,3,1,performer,True,none,True,False,2,1,16,0.0005,0.977159,0.980562,0.977159,0.162303
ICL-Markov_V3_O1,L2_H2_D16_performer_AttnOnlyTrue_PE-none_ResTrue_LNFalse_LR0.0005,ICL-Markov,3,1,performer,True,none,True,False,2,2,16,0.0005,0.978056,0.973012,0.978056,0.153449
ICL-Markov_V3_O1,L2_H1_D16_performer_AttnOnlyTrue_PE-absolute_ResTrue_LNFalse_LR0.0005,ICL-Markov,3,1,performer,True,absolute,True,False,2,1,16,0.0005,0.985089,0.982206,0.985089,0.166628
ICL-Markov_V3_O1,L2_H2_D16_performer_AttnOnlyTrue_PE-absolute_ResTrue_LNFalse_LR0.0005,ICL-Markov,3,1,performer,True,absolute,True,False,2,2,16,0.0005,0.962827,0.967657,0.962827,0.153931
ICL-Markov_V3_O1,L2_H1_D16_performer_AttnOnlyTrue_PE-rope_ResTrue_LNFalse_LR0.0005,ICL-Markov,3,1,performer,True,rope,True,False,2,1,16,0.0005,0.991379,0.993819,0.991379,0.176331
ICL-Markov_V3_O1,L2_H2_D16_performer_AttnOnlyTrue_PE-rope_ResTrue_LNFalse_LR0.0005,ICL-Markov,3,1,performer,True,rope,True,False,2,2,16,0.0005,0.992592,0.988708,0.992592,0.170029
ICL-Markov_V3_O1,L2_H1_D16_performer_AttnOnlyTrue_PE-none_ResFalse_LNTrue_LR0.0005,ICL-Markov,3,1,performer,True,none,False,True,2,1,16,0.0005,0.988075,0.988600,0.988075,0.171228
ICL-Markov_V3_O1,L2_H2_D16_performer_AttnOnlyTrue_PE-none_ResFalse_LNTrue_LR0.0005,ICL-Markov,3,1,performer,True,none,False,True,2,2,16,0.0005,0.971080,0.966788,0.971080,0.141342
ICL-Markov_V3_O1,L2_H1_D16_performer_AttnOnlyTrue_PE-absolute_ResFalse_LNTrue_LR0.0005,ICL-Markov,3,1,performer,True,absolute,False,True,2,1,16,0.0005,0.962454,0.958723,0.962454,0.137894
ICL-Markov_V3_O1,L2_H2_D16_performer_AttnOnlyTrue_PE-absolute_ResFalse_LNTrue_LR0.0005,ICL-Markov,3,1,performer,True,absolute,False,True,2,2,16,0.0005,0.935052,0.945490,0.935052,0.128310
ICL-Markov_V3_O1,L2_H1_D16_performer_AttnOnlyTrue_PE-rope_ResFalse_LNTrue_LR0.0005,ICL-Markov,3,1,performer,True,rope,False,True,2,1,16,0.0005,0.993060,0.992539,0.993060,0.173289
ICL-Markov_V3_O1,L2_H2_D16_performer_AttnOnlyTrue_PE-rope_ResFalse_LNTrue_LR0.0005,ICL-Markov,3,1,performer,True,rope,False,True,2,2,16,0.0005,0.977971,0.974865,0.977971,0.152189
ICL-Markov_V3_O1,L2_H1_D16_performer_AttnOnlyTrue_PE-none_ResFalse_LNFalse_LR0.0005,ICL-Markov,3,1,performer,True,none,False,False,2,1,16,0.0005,1.044658,1.045576,1.044658,0.227709
ICL-Markov_V3_O1,L2_H2_D16_performer_AttnOnlyTrue_PE-none_ResFalse_LNFalse_LR0.0005,ICL-Markov,3,1,performer,True,none,False,False,2,2,16,0.0005,1.051277,1.045620,1.051277,0.224420
ICL-Markov_V3_O1,L2_H1_D16_performer_AttnOnlyTrue_PE-absolute_ResFalse_LNFalse_LR0.0005,ICL-Markov,3,1,performer,True,absolute,False,False,2,1,16,0.0005,1.042786,1.040212,1.042786,0.215543
ICL-Markov_V3_O1,L2_H2_D16_performer_AttnOnlyTrue_PE-absolute_ResFalse_LNFalse_LR0.0005,ICL-Markov,3,1,performer,True,absolute,False,False,2,2,16,0.0005,1.042383,1.042772,1.042383,0.224711
ICL-Markov_V3_O1,L2_H1_D16_performer_AttnOnlyTrue_PE-rope_ResFalse_LNFalse_LR0.0005,ICL-Markov,3,1,performer,True,rope,False,False,2,1,16,0.0005,1.005513,0.997939,1.005513,0.180060
ICL-Markov_V3_O1,L2_H2_D16_performer_AttnOnlyTrue_PE-rope_ResFalse_LNFalse_LR0.0005,ICL-Markov,3,1,performer,True,rope,False,False,2,2,16,0.0005,1.046610,1.045227,1.046610,0.226973
ICL-Markov_V3_O2,L2_H1_D16_performer_AttnOnlyTrue_PE-none_ResTrue_LNTrue_LR0.0005,ICL-Markov,3,2,performer,True,none,True,True,2,1,16,0.0005,1.054216,1.057306,1.054216,0.235851
ICL-Markov_V3_O2,L2_H2_D16_performer_AttnOnlyTrue_PE-none_ResTrue_LNTrue_LR0.0005,ICL-Markov,3,2,performer,True,none,True,True,2,2,16,0.0005,1.048861,1.051528,1.048861,0.238627
ICL-Markov_V3_O2,L2_H1_D16_performer_AttnOnlyTrue_PE-absolute_ResTrue_LNTrue_LR0.0005,ICL-Markov,3,2,performer,True,absolute,True,True,2,1,16,0.0005,1.048254,1.049708,1.048254,0.230107
ICL-Markov_V3_O2,L2_H2_D16_performer_AttnOnlyTrue_PE-absolute_ResTrue_LNTrue_LR0.0005,ICL-Markov,3,2,performer,True,absolute,True,True,2,2,16,0.0005,1.040415,1.039851,1.040415,0.221982
ICL-Markov_V3_O2,L2_H1_D16_performer_AttnOnlyTrue_PE-rope_ResTrue_LNTrue_LR0.0005,ICL-Markov,3,2,performer,True,rope,True,True,2,1,16,0.0005,1.050963,1.050238,1.050963,0.228591
ICL-Markov_V3_O2,L2_H2_D16_performer_AttnOnlyTrue_PE-rope_ResTrue_LNTrue_LR0.0005,ICL-Markov,3,2,performer,True,rope,True,True,2,2,16,0.0005,1.047868,1.047789,1.047868,0.229564
ICL-Markov_V3_O2,L2_H1_D16_performer_AttnOnlyTrue_PE-none_ResTrue_LNFalse_LR0.0005,ICL-Markov,3,2,performer,True,none,True,False,2,1,16,0.0005,1.062394,1.060717,1.062394,0.247680
ICL-Markov_V3_O2,L2_H2_D16_performer_AttnOnlyTrue_PE-none_ResTrue_LNFalse_LR0.0005,ICL-Markov,3,2,performer,True,none,True,False,2,2,16,0.0005,1.059464,1.058184,1.059464,0.238722
ICL-Markov_V3_O2,L2_H1_D16_performer_AttnOnlyTrue_PE-absolute_ResTrue_LNFalse_LR0.0005,ICL-Markov,3,2,performer,True,absolute,True,False,2,1,16,0.0005,1.060496,1.061047,1.060496,0.245133
ICL-Markov_V3_O2,L2_H2_D16_performer_AttnOnlyTrue_PE-absolute_ResTrue_LNFalse_LR0.0005,ICL-Markov,3,2,performer,True,absolute,True,False,2,2,16,0.0005,1.068449,1.065472,1.068449,0.238015
ICL-Markov_V3_O2,L2_H1_D16_performer_AttnOnlyTrue_PE-rope_ResTrue_LNFalse_LR0.0005,ICL-Markov,3,2,performer,True,rope,True,False,2,1,16,0.0005,1.062852,1.063954,1.062852,0.242968
ICL-Markov_V3_O2,L2_H2_D16_performer_AttnOnlyTrue_PE-rope_ResTrue_LNFalse_LR0.0005,ICL-Markov,3,2,performer,True,rope,True,False,2,2,16,0.0005,1.058049,1.059791,1.058049,0.241471
ICL-Markov_V3_O2,L2_H1_D16_performer_AttnOnlyTrue_PE-none_ResFalse_LNTrue_LR0.0005,ICL-Markov,3,2,performer,True,none,False,True,2,1,16,0.0005,1.052695,1.058857,1.052695,0.244027
ICL-Markov_V3_O2,L2_H2_D16_performer_AttnOnlyTrue_PE-none_ResFalse_LNTrue_LR0.0005,ICL-Markov,3,2,performer,True,none,False,True,2,2,16,0.0005,1.056586,1.060370,1.056586,0.239455
ICL-Markov_V3_O2,L2_H1_D16_performer_AttnOnlyTrue_PE-absolute_ResFalse_LNTrue_LR0.0005,ICL-Markov,3,2,performer,True,absolute,False,True,2,1,16,0.0005,1.050037,1.048678,1.050037,0.228229
ICL-Markov_V3_O2,L2_H2_D16_performer_AttnOnlyTrue_PE-absolute_ResFalse_LNTrue_LR0.0005,ICL-Markov,3,2,performer,True,absolute,False,True,2,2,16,0.0005,1.056918,1.053477,1.056918,0.233388
ICL-Markov_V3_O2,L2_H1_D16_performer_AttnOnlyTrue_PE-rope_ResFalse_LNTrue_LR0.0005,ICL-Markov,3,2,performer,True,rope,False,True,2,1,16,0.0005,1.056377,1.058307,1.056377,0.239078
ICL-Markov_V3_O2,L2_H2_D16_performer_AttnOnlyTrue_PE-rope_ResFalse_LNTrue_LR0.0005,ICL-Markov,3,2,performer,True,rope,False,True,2,2,16,0.0005,1.059394,1.057908,1.059394,0.234843
ICL-Markov_V3_O2,L2_H1_D16_performer_AttnOnlyTrue_PE-none_ResFalse_LNFalse_LR0.0005,ICL-Markov,3,2,performer,True,none,False,False,2,1,16,0.0005,1.075583,1.080179,1.075583,0.262102
ICL-Markov_V3_O2,L2_H2_D16_performer_AttnOnlyTrue_PE-none_ResFalse_LNFalse_LR0.0005,ICL-Markov,3,2,performer,True,none,False,False,2,2,16,0.0005,1.078060,1.078092,1.078060,0.255485
ICL-Markov_V3_O2,L2_H1_D16_performer_AttnOnlyTrue_PE-absolute_ResFalse_LNFalse_LR0.0005,ICL-Markov,3,2,performer,True,absolute,False,False,2,1,16,0.0005,1.076201,1.078741,1.076201,0.257886
ICL-Markov_V3_O2,L2_H2_D16_performer_AttnOnlyTrue_PE-absolute_ResFalse_LNFalse_LR0.0005,ICL-Markov,3,2,performer,True,absolute,False,False,2,2,16,0.0005,1.079576,1.079231,1.079576,0.261265
ICL-Markov_V3_O2,L2_H1_D16_performer_AttnOnlyTrue_PE-rope_ResFalse_LNFalse_LR0.0005,ICL-Markov,3,2,performer,True,rope,False,False,2,1,16,0.0005,1.081376,1.078487,1.081376,0.257762
ICL-Markov_V3_O2,L2_H2_D16_performer_AttnOnlyTrue_PE-rope_ResFalse_LNFalse_LR0.0005,ICL-Markov,3,2,performer,True,rope,False,False,2,2,16,0.0005,1.078306,1.077591,1.078306,0.258336
ICL-HMM_V2_O1,L2_H1_D16_performer_AttnOnlyTrue_PE-none_ResTrue_LNTrue_LR0.0005,ICL-HMM,2,1,performer,True,none,True,True,2,1,16,0.0005,0.584596,0.587441,0.584596,0.019464
ICL-HMM_V2_O1,L2_H2_D16_performer_AttnOnlyTrue_PE-none_ResTrue_LNTrue_LR0.0005,ICL-HMM,2,1,performer,True,none,True,True,2,2,16,0.0005,0.596555,0.586963,0.596555,0.017717
ICL-HMM_V2_O1,L2_H1_D16_performer_AttnOnlyTrue_PE-absolute_ResTrue_LNTrue_LR0.0005,ICL-HMM,2,1,performer,True,absolute,True,True,2,1,16,0.0005,0.583807,0.587436,0.583807,0.017943
ICL-HMM_V2_O1,L2_H2_D16_performer_AttnOnlyTrue_PE-absolute_ResTrue_LNTrue_LR0.0005,ICL-HMM,2,1,performer,True,absolute,True,True,2,2,16,0.0005,0.579254,0.582213,0.579254,0.018220
ICL-HMM_V2_O1,L2_H1_D16_performer_AttnOnlyTrue_PE-rope_ResTrue_LNTrue_LR0.0005,ICL-HMM,2,1,performer,True,rope,True,True,2,1,16,0.0005,0.586667,0.588609,0.586667,0.019502
ICL-HMM_V2_O1,L2_H2_D16_performer_AttnOnlyTrue_PE-rope_ResTrue_LNTrue_LR0.0005,ICL-HMM,2,1,performer,True,rope,True,True,2,2,16,0.0005,0.581503,0.581726,0.581503,0.019053
ICL-HMM_V2_O1,L2_H1_D16_performer_AttnOnlyTrue_PE-none_ResTrue_LNFalse_LR0.0005,ICL-HMM,2,1,performer,True,none,True,False,2,1,16,0.0005,0.587161,0.588123,0.587161,0.022812
ICL-HMM_V2_O1,L2_H2_D16_performer_AttnOnlyTrue_PE-none_ResTrue_LNFalse_LR0.0005,ICL-HMM,2,1,performer,True,none,True,False,2,2,16,0.0005,0.595343,0.589000,0.595343,0.020681
ICL-HMM_V2_O1,L2_H1_D16_performer_AttnOnlyTrue_PE-absolute_ResTrue_LNFalse_LR0.0005,ICL-HMM,2,1,performer,True,absolute,True,False,2,1,16,0.0005,0.588295,0.587979,0.588295,0.019401
