Dataset_Setting,Model_Setting,Data_Name,Num_Symbols,N_Order,Model_Type,Layers,Heads,Embed_Dim,LR,Final_Sample_CE,Final_Theory_CE,Final_Sample_KL,Final_Theory_KL
ICL-Markov_V3_O1,L2_H1_D16_attention-only_LR0.0005,ICL-Markov,3,1,attention-only,2,1,16,0.0005,0.877997,0.863935,0.877997,0.043831
ICL-Markov_V3_O1,L2_H2_D16_attention-only_LR0.0005,ICL-Markov,3,1,attention-only,2,2,16,0.0005,0.865528,0.860970,0.865528,0.038792
ICL-Markov_V3_O1,L2_H1_D16_standard_LR0.0005,ICL-Markov,3,1,standard,2,1,16,0.0005,0.861811,0.859732,0.861811,0.036622
ICL-Markov_V3_O1,L2_H2_D16_standard_LR0.0005,ICL-Markov,3,1,standard,2,2,16,0.0005,0.843367,0.856847,0.843366,0.032183
ICL-Markov_V3_O1,L2_H1_D16_linear_LR0.0005,ICL-Markov,3,1,linear,2,1,16,0.0005,0.968289,0.969480,0.968289,0.157382
ICL-Markov_V3_O1,L2_H2_D16_linear_LR0.0005,ICL-Markov,3,1,linear,2,2,16,0.0005,0.957415,0.957945,0.957415,0.138269
ICL-Markov_V3_O1,L1_H1_D16_attention-only_LR0.0005,ICL-Markov,3,1,attention-only,1,1,16,0.0005,0.986237,0.981016,0.986237,0.157224
ICL-Markov_V3_O1,L1_H2_D16_attention-only_LR0.0005,ICL-Markov,3,1,attention-only,1,2,16,0.0005,0.987694,0.976976,0.987694,0.153814
ICL-Markov_V3_O1,L1_H1_D16_standard_LR0.0005,ICL-Markov,3,1,standard,1,1,16,0.0005,0.970709,0.976817,0.970709,0.158701
ICL-Markov_V3_O1,L1_H2_D16_standard_LR0.0005,ICL-Markov,3,1,standard,1,2,16,0.0005,0.962901,0.970844,0.962901,0.155867
ICL-Markov_V3_O1,L1_H1_D16_linear_LR0.0005,ICL-Markov,3,1,linear,1,1,16,0.0005,0.981902,0.982784,0.981902,0.159104
ICL-Markov_V3_O1,L1_H2_D16_linear_LR0.0005,ICL-Markov,3,1,linear,1,2,16,0.0005,0.970331,0.977868,0.970331,0.161365
ICL-Markov_V3_O2,L2_H1_D16_attention-only_LR0.0005,ICL-Markov,3,2,attention-only,2,1,16,0.0005,0.950884,0.942474,0.950883,0.120386
ICL-Markov_V3_O2,L2_H2_D16_attention-only_LR0.0005,ICL-Markov,3,2,attention-only,2,2,16,0.0005,0.888356,0.902887,0.888356,0.083702
ICL-Markov_V3_O2,L2_H1_D16_standard_LR0.0005,ICL-Markov,3,2,standard,2,1,16,0.0005,0.916616,0.917662,0.916616,0.099042
ICL-Markov_V3_O2,L2_H2_D16_standard_LR0.0005,ICL-Markov,3,2,standard,2,2,16,0.0005,0.900236,0.909096,0.900236,0.090536
ICL-Markov_V3_O2,L2_H1_D16_linear_LR0.0005,ICL-Markov,3,2,linear,2,1,16,0.0005,1.054667,1.056417,1.054667,0.234972
ICL-Markov_V3_O2,L2_H2_D16_linear_LR0.0005,ICL-Markov,3,2,linear,2,2,16,0.0005,1.060338,1.054721,1.060338,0.235403
ICL-Markov_V3_O2,L1_H1_D16_attention-only_LR0.0005,ICL-Markov,3,2,attention-only,1,1,16,0.0005,1.053599,1.056571,1.053599,0.237591
ICL-Markov_V3_O2,L1_H2_D16_attention-only_LR0.0005,ICL-Markov,3,2,attention-only,1,2,16,0.0005,1.047228,1.050387,1.047228,0.232955
ICL-Markov_V3_O2,L1_H1_D16_standard_LR0.0005,ICL-Markov,3,2,standard,1,1,16,0.0005,1.048180,1.050997,1.048180,0.232404
ICL-Markov_V3_O2,L1_H2_D16_standard_LR0.0005,ICL-Markov,3,2,standard,1,2,16,0.0005,1.051478,1.052483,1.051478,0.229477
ICL-Markov_V3_O2,L1_H1_D16_linear_LR0.0005,ICL-Markov,3,2,linear,1,1,16,0.0005,1.057509,1.060263,1.057509,0.241529
ICL-Markov_V3_O2,L1_H2_D16_linear_LR0.0005,ICL-Markov,3,2,linear,1,2,16,0.0005,1.057234,1.057999,1.057234,0.237553
ICL-Markov_V2_O1,L2_H1_D16_attention-only_LR0.0005,ICL-Markov,2,1,attention-only,2,1,16,0.0005,0.503002,0.503820,0.503002,0.019931
ICL-Markov_V2_O1,L2_H2_D16_attention-only_LR0.0005,ICL-Markov,2,1,attention-only,2,2,16,0.0005,0.497247,0.500094,0.497247,0.015802
ICL-Markov_V2_O1,L2_H1_D16_standard_LR0.0005,ICL-Markov,2,1,standard,2,1,16,0.0005,0.500365,0.501810,0.500365,0.023700
ICL-Markov_V2_O1,L2_H2_D16_standard_LR0.0005,ICL-Markov,2,1,standard,2,2,16,0.0005,0.490763,0.506979,0.490763,0.025145
ICL-Markov_V2_O1,L2_H1_D16_linear_LR0.0005,ICL-Markov,2,1,linear,2,1,16,0.0005,0.550340,0.546554,0.550340,0.066621
ICL-Markov_V2_O1,L2_H2_D16_linear_LR0.0005,ICL-Markov,2,1,linear,2,2,16,0.0005,0.533251,0.530187,0.533251,0.049297
ICL-Markov_V2_O1,L1_H1_D16_attention-only_LR0.0005,ICL-Markov,2,1,attention-only,1,1,16,0.0005,0.553852,0.558779,0.553852,0.080226
ICL-Markov_V2_O1,L1_H2_D16_attention-only_LR0.0005,ICL-Markov,2,1,attention-only,1,2,16,0.0005,0.544190,0.549075,0.544190,0.065338
ICL-Markov_V2_O1,L1_H1_D16_standard_LR0.0005,ICL-Markov,2,1,standard,1,1,16,0.0005,0.553495,0.554813,0.553495,0.069014
ICL-Markov_V2_O1,L1_H2_D16_standard_LR0.0005,ICL-Markov,2,1,standard,1,2,16,0.0005,0.548046,0.542002,0.548046,0.064055
ICL-Markov_V2_O1,L1_H1_D16_linear_LR0.0005,ICL-Markov,2,1,linear,1,1,16,0.0005,0.545840,0.557286,0.545840,0.077769
ICL-Markov_V2_O1,L1_H2_D16_linear_LR0.0005,ICL-Markov,2,1,linear,1,2,16,0.0005,0.562513,0.560289,0.562513,0.075264
ICL-Markov_V2_O2,L2_H1_D16_attention-only_LR0.0005,ICL-Markov,2,2,attention-only,2,1,16,0.0005,0.554549,0.545392,0.554549,0.074067
ICL-Markov_V2_O2,L2_H2_D16_attention-only_LR0.0005,ICL-Markov,2,2,attention-only,2,2,16,0.0005,0.494576,0.493538,0.494576,0.026582
ICL-Markov_V2_O2,L2_H1_D16_standard_LR0.0005,ICL-Markov,2,2,standard,2,1,16,0.0005,0.502449,0.503013,0.502449,0.035554
ICL-Markov_V2_O2,L2_H2_D16_standard_LR0.0005,ICL-Markov,2,2,standard,2,2,16,0.0005,0.504253,0.499533,0.504253,0.027649
ICL-Markov_V2_O2,L2_H1_D16_linear_LR0.0005,ICL-Markov,2,2,linear,2,1,16,0.0005,0.603239,0.602685,0.603239,0.128782
ICL-Markov_V2_O2,L2_H2_D16_linear_LR0.0005,ICL-Markov,2,2,linear,2,2,16,0.0005,0.592980,0.595511,0.592980,0.129799
ICL-Markov_V2_O2,L1_H1_D16_attention-only_LR0.0005,ICL-Markov,2,2,attention-only,1,1,16,0.0005,0.591909,0.594161,0.591909,0.128383
ICL-Markov_V2_O2,L1_H2_D16_attention-only_LR0.0005,ICL-Markov,2,2,attention-only,1,2,16,0.0005,0.589586,0.587274,0.589586,0.120151
ICL-Markov_V2_O2,L1_H1_D16_standard_LR0.0005,ICL-Markov,2,2,standard,1,1,16,0.0005,0.599900,0.596610,0.599900,0.123909
ICL-Markov_V2_O2,L1_H2_D16_standard_LR0.0005,ICL-Markov,2,2,standard,1,2,16,0.0005,0.583385,0.579669,0.583385,0.106012
ICL-Markov_V2_O2,L1_H1_D16_linear_LR0.0005,ICL-Markov,2,2,linear,1,1,16,0.0005,0.602502,0.609443,0.602502,0.136646
ICL-Markov_V2_O2,L1_H2_D16_linear_LR0.0005,ICL-Markov,2,2,linear,1,2,16,0.0005,0.606501,0.603440,0.606501,0.136480
